更新时间,#genre#
CCTV-3,http://221.222.162.206:8888/rtp/239.3.1.172:8001$组播源
CCTV-3,http://123.113.187.204:8000/rtp/239.3.1.172:8001$组播源
CCTV-3,http://115.60.241.249:2000/rtp/225.1.4.158:1194$组播源
CCTV-4,http://[2409:8087:3c02:21:0:1:0:100a]:6410/shandong_cabletv.live.zte.com////CHANNEL00000350/index.m3u8?IASHttpSessionId=$订阅源-IPv6
CCTV-4,http://[2409:8087:5e00:24::1e]:6060/200000001898/460000089800010017/1.m3u8$订阅源-IPv6
CCTV-4,http://[2409:8087:74f0:22::4]:6410/270000001128/9900000503/index.m3u8?$订阅源-IPv6
CCTV-4,http://163.177.123.19:9901/tsfile/live/1022_1.m3u8$订阅源
CCTV-4,http://219.128.121.202:59901/tsfile/live/1003_1.m3u8$订阅源
CCTV-4,http://115.48.62.102:9901/tsfile/live/0004_1.m3u8$订阅源
CCTV-4,http://123.113.187.204:8000/rtp/239.3.1.214:4220$组播源
CCTV-4,http://115.60.241.249:2000/rtp/225.1.5.30:1333$组播源
CCTV-4,http://60.2.190.206:4000/rtp/239.253.93.193:6371$组播源
CCTV-5,http://[2409:8087:5e00:24::10]:6060/200000001898/460000089800010139/$订阅源-IPv6
CCTV-5,http://[2409:8087:5e00:24::11]:6060/200000001898/460000089800010145/$订阅源-IPv6
CCTV-5,http://[2409:8087:1a01:df::7005]/ottrrs.hl.chinamobile.com/TVOD/88888888/224/3221226019/index.m3u8$订阅源-IPv6
CCTV-5,http://163.177.123.19:9901/tsfile/live/1023_1.m3u8$订阅源
CCTV-5,http://163.177.122.21:9901/tsfile/live/1023_1.m3u8$订阅源
CCTV-5,http://219.159.91.10:9901/tsfile/live/0005_1.m3u8$订阅源
CCTV-5,http://221.222.162.206:8888/rtp/239.3.1.173:8001$组播源
CCTV-5,http://115.60.241.249:2000/rtp/225.1.4.75:1104$组播源
CCTV-5,http://115.60.241.249:2000/rtp/225.1.4.159:1195$组播源
CCTV-5+,http://[2409:8087:5e00:24::10]:6060/200000001898/460000089800010202/$订阅源-IPv6
CCTV-5+,http://[2409:8087:5e01:34::23]:6610/ZTE_CMS/00000001000000060000000000000461/index.m3u8?IAS$订阅源-IPv6
CCTV-5+,http://[2409:8087:5e00:24::1e]:6060/000000001000/1000000001000020505/1.m3u8$订阅源-IPv6
CCTV-5+,http://163.177.123.19:9901/tsfile/live/1024_1.m3u8$订阅源
CCTV-5+,http://163.177.122.21:9901/tsfile/live/1024_1.m3u8$订阅源
CCTV-5+,http://219.128.121.202:59901/tsfile/live/1005_1.m3u8$订阅源
CCTV-5+,http://123.117.237.15:8680/rtp/239.3.1.130:8004$组播源
CCTV-5+,http://123.113.187.204:8000/rtp/239.3.1.130:8004$组播源
CCTV-5+,http://tnvcn.com:8012/rtp/239.3.1.130:8004$组播源
CCTV-6,http://[2409:8087:1a0a:df::4038]/ottrrs.hl.chinamobile.com/TVOD/88888888/224/3221226010/index.m3u8$订阅源-IPv6
CCTV-6,http://[2409:8087:1a01:df::7005]/ottrrs.hl.chinamobile.com/PLTV/88888888/8/3221226010/index.m3u8$订阅源-IPv6
CCTV-6,http://[2409:8087:1a01:df::4077]/ottrrs.hl.chinamobile.com/yinhe/88888888/224/3221226010/index.m3u8$订阅源-IPv6
CCTV-6,http://163.177.122.21:9901/tsfile/live/1025_1.m3u8$订阅源
CCTV-6,http://219.128.121.202:59901/tsfile/live/0006_1.m3u8$订阅源
CCTV-6,http://219.128.121.202:59901/tsfile/live/0006_1.m3u8?key=txiptv$订阅源
CCTV-6,http://115.60.241.249:2000/rtp/225.1.4.160:1196$组播源
CCTV-6,http://221.219.79.161:4000/rtp/239.3.1.174:8001$组播源
CCTV-6,http://115.171.216.209:4000/rtp/225.1.8.84:8000$组播源
CCTV-7,http://[2409:8087:5e08:24::11]:6610/000000001000/6000000001000009055/1.m3u8?channel-id=wasusyt&Contentid=6000000001000009055&livemode=1&stbId=3$订阅源-IPv6
CCTV-7,http://[2409:8087:5e01:34::22]:6610/ZTE_CMS/00000001000000060000000000000380/index.m3u8?IAS$订阅源-IPv6
CCTV-7,http://[2409:8087:5e01:34::20]:6610/ZTE_CMS/00000001000000060000000000000380/index.m3u8?IAS$订阅源-IPv6
CCTV-7,http://163.177.123.19:9901/tsfile/live/1026_1.m3u8$订阅源
CCTV-7,http://163.177.122.21:9901/tsfile/live/1026_1.m3u8$订阅源
CCTV-7,http://219.128.121.202:59901/tsfile/live/0007_1.m3u8$订阅源
CCTV-7,http://115.60.241.249:2000/rtp/225.1.4.76:1105$组播源
CCTV-7,http://221.219.79.161:4000/rtp/239.3.1.61:8104$组播源
CCTV-7,http://60.10.106.114:555/rtp/239.253.92.194:6059$组播源
CCTV-8,http://[2409:8087:5e00:24::1e]:6060/200000001898/460000089800010216/$订阅源-IPv6
CCTV-8,http://[2409:8087:1a01:df::4077]/ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226008/index.m3u8?$订阅源-IPv6
CCTV-8,http://[2409:8087:1a01:df::7005]/ottrrs.hl.chinamobile.com/TVOD/88888888/224/3221226008/index.m3u8$订阅源-IPv6
CCTV-8,http://163.177.123.19:9901/tsfile/live/1027_1.m3u8$订阅源
CCTV-8,http://163.177.122.21:9901/tsfile/live/1027_1.m3u8$订阅源
CCTV-8,http://219.128.121.202:59901/tsfile/live/0008_1.m3u8$订阅源
CCTV-8,http://123.113.187.204:8000/rtp/239.3.1.175:8001$组播源
CCTV-8,http://115.60.241.249:2000/rtp/225.1.4.161:1197$组播源
CCTV-8,http://221.219.79.161:4000/rtp/239.3.1.175:8001$组播源
CCTV-9,http://[2409:8087:74d9:21::6]:80/270000001128/9900000505/index.m3u8$订阅源-IPv6
CCTV-9,http://[2409:8087:5e00:24::1e]:6060/200000001898/460000089800010052/1.m3u8$订阅源-IPv6
CCTV-9,http://[2409:8087:1a01:df::4077]/ottrrs.hl.chinamobile.com/PLTV/88888888/8/3221225734/index.m3u8$订阅源-IPv6
CCTV-9,http://163.177.123.19:9901/tsfile/live/1028_1.m3u8$订阅源
CCTV-9,http://163.177.122.21:9901/tsfile/live/1028_1.m3u8$订阅源
CCTV-9,http://219.128.121.202:59901/tsfile/live/0009_1.m3u8?key=txiptv$订阅源
CCTV-9,http://115.60.241.249:2000/rtp/225.1.4.77:1106$组播源
CCTV-9,http://221.219.79.161:4000/rtp/239.3.1.62:8112$组播源
CCTV-9,http://123.117.174.237:30000/rtp/239.3.1.62:8112$组播源
CCTV-10,http://[2409:8087:5e00:24::1f]:6060/ZTE_CMS/00000001000000060000000000000375/index.m3u8$订阅源-IPv6
CCTV-10,http://[2409:8087:5e01:34::20]:6610/ZTE_CMS/00000001000000060000000000000375/index.m3u8?key=tvbox6_com$订阅源-IPv6
CCTV-10,http://[2409:8087:3c02:0021:0000:0001:0000:100a]:6410/shandong_cabletv.live.zte.com////CHANNEL00000321/index.m3u8?IASHttpSessionId=$订阅源-IPv6
CCTV-10,http://163.177.123.19:9901/tsfile/live/1029_1.m3u8$订阅源
CCTV-10,http://219.128.121.202:59901/tsfile/live/0010_1.m3u8?key=txiptv$订阅源
CCTV-10,http://219.128.121.202:59901/tsfile/live/0010_1.m3u8$订阅源
CCTV-10,http://123.113.187.204:8000/rtp/239.3.1.63:8116$组播源
CCTV-10,http://115.60.241.249:2000/rtp/225.1.4.78:1107$组播源
CCTV-10,http://60.7.56.33:4000/rtp/239.253.92.196:6061$组播源
CCTV-11,http://[2409:8087:1a01:df::7005]:80/ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226565/index.m3u8$订阅源-IPv6
CCTV-11,http://[2409:8087:5e00:24::1f]:6060/ZTE_CMS/00000001000000060000000000000497/index.m3u8$订阅源-IPv6
CCTV-11,http://[2409:8087:5e00:24::1e]:6060/000000001000/1000000002000019789/1.m3u8$订阅源-IPv6
CCTV-11,http://163.177.123.19:9901/tsfile/live/1030_1.m3u8$订阅源
CCTV-11,http://163.177.122.21:9901/tsfile/live/1030_1.m3u8$订阅源
CCTV-11,http://219.128.121.202:59901/tsfile/live/0011_1.m3u8?key=txiptv$订阅源
CCTV-11,http://123.113.187.204:8000/rtp/239.3.1.152:8120$组播源
CCTV-11,http://115.60.241.249:2000/rtp/225.1.4.215:1268$组播源
CCTV-11,http://60.7.56.33:4000/rtp/239.253.93.153:6321$组播源
CCTV-12,http://[2409:8087:5e00:24::1f]:6060/ZTE_CMS/00000001000000060000000000000377/index.m3u8$订阅源-IPv6
CCTV-12,http://[2409:8087:5e08:24::11]:6610/000000001000/1000000001000032494/1.m3u8?channel-id=ystenlive&Contentid=1000000001000032494&livemode=1&stbId=3$订阅源-IPv6
CCTV-12,http://[2409:8087:5e00:24::1e]:6060/000000001000/5000000011000031107/$订阅源-IPv6
CCTV-12,http://163.177.123.19:9901/tsfile/live/1031_1.m3u8$订阅源
CCTV-12,http://219.128.121.202:59901/tsfile/live/0012_1.m3u8$订阅源
CCTV-12,http://219.128.121.202:59901/tsfile/live/0012_1.m3u8?key=txiptv$订阅源
CCTV-12,http://123.113.187.204:8000/rtp/239.3.1.64:8124$组播源
CCTV-12,http://115.60.241.249:2000/rtp/225.1.4.79:1108$组播源
CCTV-12,http://221.219.79.161:4000/rtp/239.3.1.64:8124$组播源
CCTV-13,http://[2409:8087:1a01:df::7005]/ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226571/index.m3u8$订阅源-IPv6
CCTV-13,http://[2409:8087:1a0a:df::4038]/ottrrs.hl.chinamobile.com/TVOD/88888888/224/3221226571/index.m3u8$订阅源-IPv6
CCTV-13,http://[2409:8087:1a0a:df::4033]:80/wh7f454c46tw1917467835_-2108786972/ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226537/index.m3u8?icpid=88888888&RTS=1713968746&from=4&hms_devid=1145&online=1713968746&vqe=3$订阅源-IPv6
CCTV-13,http://163.177.123.19:9901/tsfile/live/1032_1.m3u8$订阅源
CCTV-13,http://163.177.122.21:9901/tsfile/live/1032_1.m3u8$订阅源
CCTV-13,http://219.128.121.202:59901/tsfile/live/0013_1.m3u8?key=txiptv$订阅源
CCTV-13,http://115.60.241.249:2000/rtp/225.1.4.113:1293$组播源
CCTV-13,http://221.219.79.161:4000/rtp/239.3.1.124:8128$组播源
CCTV-13,http://60.7.56.33:4000/rtp/239.253.92.13:8008$组播源
CCTV-14,http://[2409:8087:1a01:df::7005]/ottrrs.hl.chinamobile.com/PLTV/2/224/3221225732/2.m3u8$订阅源-IPv6
CCTV-14,http://[2409:8087:74d9:21::9]:80/270000001128/index.m3u8?cmcc_cid=9900000511$订阅源-IPv6
CCTV-14,http://[2409:8087:5e00:24::1e]:6060/000000001000/1000000001000008170/1.m3u8$订阅源-IPv6
CCTV-14,http://163.177.123.19:9901/tsfile/live/1033_1.m3u8$订阅源
CCTV-14,http://219.128.121.202:59901/tsfile/live/0014_1.m3u8$订阅源
CCTV-14,http://219.128.121.202:59901/tsfile/live/0014_1.m3u8?key=txiptv$订阅源
CCTV-14,http://221.222.162.206:8888/rtp/239.3.1.65:8132$组播源
CCTV-14,http://123.113.187.204:8000/rtp/239.3.1.65:8132$组播源
CCTV-14,http://115.60.241.249:2000/rtp/225.1.4.80:1109$组播源
CCTV-15,http://[2409:8087:5e01:34::22]:6610/ZTE_CMS/00000001000000060000000000000501/index.m3u8?IAS$订阅源-IPv6
CCTV-15,http://[2409:8087:1a01:df::4077]:80/ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225601/index.m3u8$订阅源-IPv6
CCTV-15,http://[2409:8087:1a01:df::7005]:80/ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226476/index.m3u8$订阅源-IPv6
CCTV-15,http://163.177.123.19:9901/tsfile/live/1034_1.m3u8$订阅源
CCTV-15,http://163.177.122.21:9901/tsfile/live/1034_1.m3u8$订阅源
CCTV-15,http://219.128.121.202:59901/tsfile/live/0015_1.m3u8$订阅源
CCTV-15,http://123.113.187.204:8000/rtp/239.3.1.153:8136$组播源
CCTV-15,http://115.60.241.249:2000/rtp/225.1.4.216:1269$组播源
CCTV-15,http://221.219.79.161:4000/rtp/239.3.1.153:8136$组播源
CCTV-16,http://[2409:8087:74d9:21::9]/270000001128/index.m3u8?cmcc_cid=9900000016$订阅源-IPv6
CCTV-16,http://[2409:8087:5e00:24::1e]:6060/200000001898/460000089800010142/1.m3u8?$订阅源-IPv6
CCTV-16,http://[2409:8087:1a01:df::7005]/ottrrs.hl.chinamobile.com/PLTV/2/224/3221226100/2.m3u8$订阅源-IPv6
CCTV-16,http://163.177.123.19:9901/tsfile/live/1035_1.m3u8$订阅源
CCTV-16,http://163.177.122.21:9901/tsfile/live/1035_1.m3u8$订阅源
CCTV-16,http://124.231.215.118:9999/tsfile/live/1084_1.m3u8$订阅源
CCTV-16,http://115.60.241.249:2000/rtp/225.1.5.46:1356$组播源
CCTV-16,http://221.219.79.161:4000/rtp/239.3.1.184:8001$组播源
CCTV-17,http://[2409:8087:1a01:df::7005]/ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225765/index.m3u8$订阅源-IPv6
CCTV-17,http://[2409:8087:2001:20:2800:0:df6e:eb22]/ott.mobaibox.com/PLTV/1/224/3221228407/index.m3u8$订阅源-IPv6
CCTV-17,http://[2409:8087:5e00:24::1e]:6060/200000001898/460000089800010210/1.m3u8$订阅源-IPv6
CCTV-17,http://163.177.123.19:9901/tsfile/live/1036_1.m3u8$订阅源
CCTV-17,http://124.231.215.118:9999/tsfile/live/0019_1.m3u8$订阅源
CCTV-17,http://175.16.180.250:9901/tsfile/live/0019_1.m3u8$订阅源
CCTV-17,http://115.60.241.249:2000/rtp/225.1.4.226:2506$组播源
CCTV-17,http://221.219.79.161:4000/rtp/239.3.1.151:8144$组播源
CETV1,http://[2409:8087:1a0b:df::4020]:80/ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225652/index.m3u8$订阅源-IPv6
CETV1,http://[2409:8087:74d9:21::6]:80/270000001128/9900000046/index.m3u8$订阅源-IPv6
CETV2,http://[2409:8087:74d9:21::6]:80/270000001128/9900000071/index.m3u8$订阅源-IPv6
CETV2,http://[2409:8087:1a0b:df::4013]:80/ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226425/index.m3u8$订阅源-IPv6
CETV4,http://[2409:8087:74d9:21::6]:80/270000001128/9900000072/index.m3u8$订阅源-IPv6
CETV4,http://[2409:8087:1a0b:df::4020]:80/ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225783/index.m3u8$订阅源-IPv6
CETV4,https://gcalic.v.myalicdn.com/gc/wgw05_1/index.m3u8?contentid=2820180516001$订阅源

💰央视付费频道,#genre#
央视台球,http://124.230.56.27:55555/udp/239.76.254.58:9000$订阅源
风云足球,http://163.177.123.19:9901/tsfile/live/1095_1.m3u8$订阅源
风云足球,http://163.177.122.21:9901/tsfile/live/1095_1.m3u8$订阅源
世界地理,http://60.2.190.206:4000/udp/239.253.92.131:6113$订阅源
世界地理,http://60.2.190.206:4000/udp/239.253.92.113:8066$订阅源

📡卫视频道,#genre#
广东卫视,http://[2409:8087:74f0:22::6]:6410/270000001128/9900000520/index.m3u8?channel-id=newtv&livemode=4&Contentid=9900000520$订阅源-IPv6
广东卫视,http://[2409:8087:1e03:21::42]:6610/cms001/ch00000090990000001032/index.m3u8?$订阅源-IPv6
广东卫视,http://[2409:8087:5e00:24::1e]:6060/200000001898/460000089800010055/$订阅源-IPv6
广东卫视,http://163.177.123.19:9901/tsfile/live/1007_1.m3u8$订阅源
广东卫视,http://163.177.122.21:9901/tsfile/live/1007_1.m3u8$订阅源
广东卫视,http://115.48.62.102:9901/tsfile/live/0125_1.m3u8$订阅源
广东卫视,http://115.60.241.249:2000/rtp/225.1.4.166:1207$组播源
广东卫视,http://221.219.79.161:4000/rtp/239.3.1.142:8048$组播源
广东卫视,http://60.7.56.33:4000/rtp/239.253.92.206:8108$组播源
浙江卫视,http://[2409:8087:1a01:df::4077]/ottrrs.hl.chinamobile.com/PLTV/88888888/8/3221226339/index.m3u8$订阅源-IPv6
浙江卫视,http://[2409:8087:74d9:21::6]/000000001000PLTV/88888888/224/3221226144/index.m3u8$订阅源-IPv6
浙江卫视,http://[2409:8087:2001:20:2800:0:df6e:eb02]:80/wh7f454c46tw206093655_-1531148960/ott.mobaibox.com/PLTV/3/224/3221227692/index.m3u8?icpid=3&RTS=1674380321&from=40&popid=40&hms_devid=2039&prioritypopid=40&vqe=3$订阅源-IPv6
浙江卫视,http://163.177.122.21:9901/tsfile/live/1050_1.m3u8$订阅源
浙江卫视,http://ali-m-l.cztv.com/channels/lantian/channel001/1080p.m3u8$订阅源
浙江卫视,http://ali-m-l.cztv.com/channels/lantian/channel01/1080p.m3u8$订阅源
浙江卫视,http://115.60.241.249:2000/rtp/225.1.4.84:1113$组播源
浙江卫视,http://221.219.79.161:4000/rtp/239.3.1.137:8036$组播源
浙江卫视,http://60.7.56.33:4000/rtp/239.253.92.90:8020$组播源
湖南卫视,http://[2409:8087:5e00:24::1e]:6060/200000001898/460000089800010058/index.m3u8$订阅源-IPv6
湖南卫视,http://[2409:8087:5e00:24::1e]:6060/000000001000/1000000001000009115/1.m3u8$订阅源-IPv6
湖南卫视,http://[2409:8087:1a0a:df::402e]:80/wh7f454c46tw3107212859_-133726409/ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225610/index.m3u8$订阅源-IPv6
湖南卫视,http://163.177.123.19:9901/tsfile/live/1049_1.m3u8$订阅源
湖南卫视,http://163.177.122.21:9901/tsfile/live/1049_1.m3u8$订阅源
湖南卫视,http://115.48.62.102:9901/tsfile/live/0128_1.m3u8$订阅源
湖南卫视,http://123.113.187.204:8000/rtp/239.3.1.132:8012$组播源
湖南卫视,http://115.60.241.249:2000/rtp/225.1.4.82:1111$组播源
湖南卫视,http://221.219.79.161:4000/rtp/239.3.1.132:8012$组播源
北京卫视,http://[2409:8087:3869:8021:1001::e5]:6610/PLTV/88888888/224/3221225673/2/index.m3u8$订阅源-IPv6
北京卫视,http://[2409:8087:1a01:df::7005]:80/ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226450/index.m3u8$订阅源-IPv6
北京卫视,http://[2409:8087:1a01:df::7005]/ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225728/index.m3u8?$订阅源-IPv6
北京卫视,http://163.177.123.19:9901/tsfile/live/1057_1.m3u8$订阅源
北京卫视,http://115.48.62.102:9901/tsfile/live/0122_1.m3u8$订阅源
北京卫视,http://223.13.1.125:9901/tsfile/live/1004_1.m3u8$订阅源
北京卫视,http://221.222.162.206:8888/rtp/239.3.1.241:8000$组播源
北京卫视,http://123.113.187.204:8000/rtp/239.3.1.241:8000$组播源
北京卫视,http://115.60.241.249:2000/rtp/225.1.4.81:1110$组播源
湖北卫视,http://[2409:8087:5e08:24::11]:6610/000000001000/6000000001000015436/1.m3u8?channel-id=wasusyt&Contentid=6000000001000015436&livemode=1&stbId=3$订阅源-IPv6
湖北卫视,http://[2409:8087:5e08:24::17]:6610/000000001000/1000000001000010355/index.m3u8?channel-id=bestzb&Contentid=1000000001000010355&livemode=1&stbId=3$订阅源-IPv6
湖北卫视,http://[2409:8087:5e00:24::1e]:6060/200000001898/460000089800010057/index.m3u8$订阅源-IPv6
湖北卫视,http://163.177.123.19:9901/tsfile/live/1062_1.m3u8$订阅源
湖北卫视,http://163.177.122.21:9901/tsfile/live/1062_1.m3u8$订阅源
湖北卫视,http://115.48.62.102:9901/tsfile/live/0132_1.m3u8$订阅源
湖北卫视,http://123.113.187.204:8000/rtp/239.3.1.138:8044$组播源
湖北卫视,http://115.60.241.249:2000/rtp/225.1.4.89:1118$组播源
湖北卫视,http://123.117.174.237:30000/rtp/239.3.1.138:8044$组播源
黑龙江卫视,http://[2409:8087:5e00:24::1e]:6060/000000001000/1000000001000009082/1.m3u8$订阅源-IPv6
黑龙江卫视,http://[2409:8087:1a09:df::401d]/ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226421/1.m3u8?icpid=88888888&from=5&hms_devid=980&online=1720054946&vqe=3$订阅源-IPv6
黑龙江卫视,http://[2409:8087:1a01:df::7005]/ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226327/index.m3u8$订阅源-IPv6
黑龙江卫视,http://163.177.123.19:9901/tsfile/live/1056_1.m3u8$订阅源
黑龙江卫视,http://163.177.122.21:9901/tsfile/live/1056_1.m3u8$订阅源
黑龙江卫视,http://223.13.1.125:9901/tsfile/live/1016_1.m3u8$订阅源
黑龙江卫视,http://123.113.187.204:8000/rtp/239.3.1.133:8016$组播源
黑龙江卫视,http://115.60.241.249:2000/rtp/225.1.4.91:1120$组播源
黑龙江卫视,http://123.117.174.237:30000/rtp/239.3.1.133:8016$组播源
安徽卫视,http://[2409:8087:1a01:df::4077]/ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226391/1.m3u8?icpid=88888888&from=1&hms_devid=1012&vqe=3$订阅源-IPv6
安徽卫视,http://[2409:8087:1a09:df::401d]/ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226391/1.m3u8?icpid=88888888&from=5&hms_devid=980&online=1720054946&vqe=3$订阅源-IPv6
安徽卫视,http://[2409:8087:1a01:df::7005]/ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226391/index.m3u8$订阅源-IPv6
安徽卫视,http://163.177.123.19:9901/tsfile/live/1067_1.m3u8$订阅源
安徽卫视,http://163.177.122.21:9901/tsfile/live/1067_1.m3u8$订阅源
安徽卫视,http://115.48.62.102:9901/tsfile/live/0130_1.m3u8$订阅源
安徽卫视,http://123.113.187.204:8000/rtp/239.3.1.211:8064$组播源
安徽卫视,http://115.60.241.249:2000/rtp/225.1.4.87:1116$组播源
安徽卫视,http://221.219.79.161:4000/rtp/239.3.1.211:8064$组播源
重庆卫视,http://[2409:8087:5e00:24::11]:6060/200000001898/460000089800010053/$订阅源-IPv6
重庆卫视,http://[2409:8087:1a09:df::401d]/ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226409/1.m3u8?icpid=88888888&from=5&hms_devid=980&online=1720054946&vqe=3$订阅源-IPv6
重庆卫视,http://[2409:8087:74f0:22::4]:6410/270000001128/9900000517/index.m3u8?channel-id=newtv$订阅源-IPv6
重庆卫视,http://163.177.123.19:9901/tsfile/live/1070_1.m3u8$订阅源
重庆卫视,http://163.177.122.21:9901/tsfile/live/1070_1.m3u8$订阅源
重庆卫视,http://223.13.1.125:9901/tsfile/live/1033_1.m3u8$订阅源
重庆卫视,http://115.60.241.249:2000/rtp/225.1.4.157:1308$组播源
重庆卫视,http://221.219.79.161:4000/rtp/239.3.1.122:8160$组播源
重庆卫视,http://60.7.56.33:4000/rtp/239.253.92.10:6053$组播源
东方卫视,http://[2409:8087:5e00:24::1e]:6060/200000001898/460000089800010219/1.m3u8$订阅源-IPv6
东方卫视,http://[2409:8087:1a01:df::4077]/ottrrs.hl.chinamobile.com/PLTV/88888888/8/3221226345/index.m3u8$订阅源-IPv6
东方卫视,http://[2409:8087:5e00:24::1e]:6060/000000001000/5000000010000032246/1.m3u8$订阅源-IPv6
东方卫视,http://163.177.123.19:9901/tsfile/live/1052_1.m3u8$订阅源
东方卫视,http://163.177.122.21:9901/tsfile/live/1052_1.m3u8$订阅源
东方卫视,http://115.48.62.102:9901/tsfile/live/0107_1.m3u8$订阅源
东方卫视,http://115.60.241.249:2000/rtp/225.1.4.85:1114$组播源
东方卫视,http://221.219.79.161:4000/rtp/239.3.1.136:8032$组播源
东方卫视,http://115.171.216.209:4000/rtp/225.1.8.147:8192$组播源
东南卫视,http://[2409:8087:1a01:df::7005]:80/ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226341/index.m3u8$订阅源-IPv6
东南卫视,http://[2409:8087:3428:20:500::100f]:6610/PLTV/88888888/224/3221227156/index.m3u8?servicetype=1&IASHttpSessionId=RR423820220409134714119178$订阅源-IPv6
东南卫视,http://[2409:8087:1a01:df::4035]:80/TVOD/88888888/224/3221225950/main.m3u8$订阅源-IPv6
东南卫视,http://163.177.123.19:9901/tsfile/live/1072_1.m3u8$订阅源
东南卫视,http://223.13.1.125:9901/tsfile/live/1041_1.m3u8$订阅源
东南卫视,http://125.107.221.206:9901/tsfile/live/0137_1.m3u8$订阅源
东南卫视,http://123.113.187.204:8000/rtp/239.3.1.156:8148$组播源
东南卫视,http://115.60.241.249:2000/rtp/225.1.4.228:1274$组播源
东南卫视,http://221.219.79.161:4000/rtp/239.3.1.156:8148$组播源
甘肃卫视,http://[2409:8087:2001:20:2800:0:df6e:eb1b]:80/wh7f454c46tw1625690606_1267463833/ott.mobaibox.com/PLTV/3/224/3221227568/index.m3u8?icpid=3&RTS=1674377446&from=40&popid=40&hms_devid=2116&prioritypopid=40&vqe=3$订阅源-IPv6
甘肃卫视,http://[2409:8087:5e00:24::1e]:6060/200000001898/460000089800010098/1.m3u8$订阅源-IPv6
甘肃卫视,http://[2409:8087:5e00:24::11]:6060/200000001898/460000089800010098/1.m3u8$订阅源-IPv6
甘肃卫视,http://163.177.123.19:9901/tsfile/live/1087_1.m3u8$订阅源
甘肃卫视,http://163.177.122.21:9901/tsfile/live/1087_1.m3u8$订阅源
